상호,주소,1등_배출횟수,구글맵링크
버스매표소,인천 부평구 부평대로 3 가판,7,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%B6%80%ED%8F%89%EA%B5%AC%20%EB%B6%80%ED%8F%89%EB%8C%80%EB%A1%9C%203%20%EA%B0%80%ED%8C%90
셀프카메라,부산 부산진구 가야대로443번길 32 1층 101호,7,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EB%B6%80%EC%82%B0%EC%A7%84%EA%B5%AC%20%EA%B0%80%EC%95%BC%EB%8C%80%EB%A1%9C443%EB%B2%88%EA%B8%B8%2032%201%EC%B8%B5%20101%ED%98%B8
소리창고,서울 강서구 강서로 306,7,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EA%B0%95%EC%84%9C%EB%A1%9C%20306
신문가판점,서울 용산구 한강대로 277-3 가판,7,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%ED%95%9C%EA%B0%95%EB%8C%80%EB%A1%9C%20277-3%20%EA%B0%80%ED%8C%90
베스트올수성점,전북 정읍시 수성2로 28,7,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%A0%95%EC%9D%8D%EC%8B%9C%20%EC%88%98%EC%84%B12%EB%A1%9C%2028
행운복권방,경기 의정부시 충의로 55,7,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%9D%98%EC%A0%95%EB%B6%80%EC%8B%9C%20%EC%B6%A9%EC%9D%98%EB%A1%9C%2055
G마트,서울 영등포구 디지털로 387,7,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%94%94%EC%A7%80%ED%84%B8%EB%A1%9C%20387
세방매점,경북 경주시 산업로 4447 (용강동),7,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EA%B2%BD%EC%A3%BC%EC%8B%9C%20%EC%82%B0%EC%97%85%EB%A1%9C%204447%20%28%EC%9A%A9%EA%B0%95%EB%8F%99%29
우정식품,부산 동래구 온천장로 33 1층,7,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EB%8F%99%EB%9E%98%EA%B5%AC%20%EC%98%A8%EC%B2%9C%EC%9E%A5%EB%A1%9C%2033%201%EC%B8%B5
복권방,부산 사하구 장림번영로 25,7,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%82%AC%ED%95%98%EA%B5%AC%20%EC%9E%A5%EB%A6%BC%EB%B2%88%EC%98%81%EB%A1%9C%2025
